95,2017-10-04 15:28:30.869426,,0,false,false,false,3,0,0,49,0,29968,46,3,463
44,2017-10-04 15:26:16.017961,2017-10-04 15:27:37.178077,0,false,true,false,0,10,60,60,600,29968,48,3,481
85,2017-10-04 15:28:10.330231,,0,false,false,false,3,0,0,111,0,29968,46,3,460
86,2017-10-04 15:28:10.595085,,1,false,false,false,9,0,0,25,0,29968,47,3,470
87,2017-10-04 15:28:13.588580,,0,false,false,false,5,0,0,80,0,29968,47,3,472
96,2017-10-04 15:28:31.856042,,1,false,false,false,20,0,0,20,0,29968,48,3,476
357,2017-10-04 15:39:05.058504,2017-10-04 15:39:05.048956,1,false,true,false,0,9,70,70,-630,29968,46,6,466
84,2017-10-04 15:28:03.146255,,0,false,false,false,15,0,0,70,0,29968,48,3,481
88,2017-10-04 15:28:18.681253,,1,false,false,false,4,0,0,5,0,29968,47,3,468
89,2017-10-04 15:28:20.408730,,1,false,false,false,1,0,0,25,0,29968,47,3,474
361,2017-10-04 15:39:11.339986,2017-10-04 15:39:11.331159,0,false,true,false,0,1,100,100,100,29968,48,6,476
61,2017-10-04 15:26:58.976459,,1,false,false,true,7,0,0,15,0,29968,46,3,464
26,2017-10-04 15:25:56.487391,2017-10-04 15:28:23.876740,0,false,true,false,0,5,45,45,225,29968,46,3,465
90,2017-10-04 15:28:23.933536,2017-10-04 15:28:23.876729,1,false,true,false,0,5,45,45,-225,29968,46,3,466
80,2017-10-04 15:27:49.939954,,0,false,false,false,10,0,0,69,0,29968,48,3,480
2,2017-10-04 15:25:20.951385,2017-10-04 15:25:43.540066,1,false,true,false,0,1,10,10,-10,29968,48,3,480
11,2017-10-04 15:25:39.656703,2017-10-04 15:25:43.556851,1,false,true,false,0,2,10,10,20,29968,48,3,479
13,2017-10-04 15:25:43.567989,2017-10-04 15:25:43.539979,0,false,true,false,0,1,10,10,10,29968,48,3,478
14,2017-10-04 15:25:43.568098,2017-10-04 15:25:43.556924,1,false,true,true,0,2,10,10,-20,29968,48,3,480
59,2017-10-04 15:26:57.909203,2017-10-04 15:28:27.112720,1,false,true,false,0,1,30,30,-30,29968,47,3,469
75,2017-10-04 15:27:39.194442,2017-10-04 15:28:27.141184,1,false,true,false,0,9,30,30,270,29968,47,3,471
8,2017-10-04 15:25:37.846398,2017-10-04 15:25:46.271379,0,false,true,false,0,10,40,40,400,29968,48,3,481
16,2017-10-04 15:25:46.282906,2017-10-04 15:25:46.271366,1,false,true,false,0,10,40,40,-400,29968,48,3,480
91,2017-10-04 15:28:27.156874,2017-10-04 15:28:27.112624,0,false,true,false,0,1,30,30,30,29968,47,3,467
15,2017-10-04 15:25:43.568215,2017-10-04 15:25:46.857717,1,false,true,true,0,7,10,10,-70,29968,48,3,478
18,2017-10-04 15:25:46.873894,2017-10-04 15:25:46.857800,0,false,true,false,0,7,10,10,70,29968,48,3,475
92,2017-10-04 15:28:27.156986,2017-10-04 15:28:27.141072,1,false,true,true,0,9,30,30,-270,29968,47,3,469
93,2017-10-04 15:28:27.157080,,1,false,false,true,3,0,0,30,0,29968,47,3,471
94,2017-10-04 15:28:30.043899,,1,false,false,false,1,0,0,10,0,29968,48,3,478
65,2017-10-04 15:27:08.184525,,1,false,false,false,20,0,0,5,0,29968,48,3,482
19,2017-10-04 15:25:46.874028,2017-10-04 15:25:55.480145,0,false,true,true,0,1,10,10,10,29968,48,3,475
24,2017-10-04 15:25:55.494451,2017-10-04 15:25:55.480245,1,false,true,false,0,1,10,10,-10,29968,48,3,480
7,2017-10-04 15:25:35.492158,2017-10-04 15:25:56.774888,0,false,true,false,0,1,10,10,10,29968,46,3,462
209,2017-10-04 15:32:35.459010,2017-10-04 15:32:35.422975,1,false,true,false,0,2,95,95,-190,29968,47,4,470
74,2017-10-04 15:27:38.107991,,0,false,false,false,1,0,0,50,0,29968,46,3,466
110,2017-10-04 15:29:15.150319,2017-10-04 15:32:41.762842,0,false,true,false,0,5,70,70,350,29968,48,4,481
4,2017-10-04 15:25:30.585824,2017-10-04 15:26:01.090313,1,false,true,false,0,15,5,5,-75,29968,46,3,460
28,2017-10-04 15:26:01.138892,2017-10-04 15:26:01.090234,0,false,true,false,0,15,5,5,75,29968,46,3,459
212,2017-10-04 15:32:47.369732,,1,false,false,false,2,0,0,50,0,29968,47,4,467
23,2017-10-04 15:25:53.472999,2017-10-04 15:26:03.068204,0,false,true,false,0,2,15,15,30,29968,48,3,479
21,2017-10-04 15:25:49.832668,2017-10-04 15:26:03.766714,0,false,true,false,0,2,10,10,20,29968,46,3,463
