id,url,idd,itype,auction_id
172,instructions/pages/page01.html,1,1,282325
173,instructions/pages/page02.html,2,1,282325
174,instructions/pages/page03.html,3,1,282325
175,instructions/pages/page04.html,4,1,282325
176,instructions/pages/page05.html,5,1,282325
177,instructions/pages/page06.html,6,1,282325
178,instructions/pages/page07.html,7,1,282325
179,instructions/pages/page08.html,8,1,282325
180,instructions/pages/page09.html,9,1,282325
181,instructions/pages/page10.html,10,1,282325
182,instructions/pages/page11.html,11,1,282325
183,instructions/pages/page12.html,12,1,282325
184,instructions/pages/page13.html,13,1,282325
185,instructions/pages/page14.html,14,1,282325
186,instructions/pages/page15.html,15,1,282325
187,instructions/pages/page16.html,16,1,282325
188,instructions/pages/page17.html,17,1,282325
189,instructions/pages/page18.html,18,1,282325
190,instructions/pages/page19.html,19,1,282325
191,instructions/pages/page20.html,20,1,282325
192,instructions/pages/page21.html,21,1,282325
193,instructions/pages/page22.html,22,1,282325
194,instructions/pages/page23.html,23,1,282325
195,instructions/pages/page24.html,24,1,282325
196,instructions/pages/page25.html,25,1,282325
197,instructions/pages/page26.html,26,1,282325
198,instructions/pages/page27.html,27,1,282325
199,instructions/pages/page28.html,28,1,282325
200,instructions/pages/page29.html,29,1,282325
201,instructions/pages/page30.html,30,1,282325
202,instructions/pages/page31.html,31,1,282325
203,instructions/pages/page32.html,32,1,282325
204,instructions/pages/page33.html,33,1,282325
205,instructions/pages/page34.html,34,1,282325
206,instructions/pages/page35.html,35,1,282325
207,instructions/pages_summary/page01.html,1,0,282325
208,instructions/pages_summary/page02.html,2,0,282325
209,instructions/pages_summary/page03.html,3,0,282325
210,instructions/pages_summary/page04.html,4,0,282325
211,instructions/pages_summary/page05.html,5,0,282325
212,instructions/pages_summary/page06.html,6,0,282325
213,instructions/pages_summary/page07.html,7,0,282325
214,instructions/pages_summary/page08.html,8,0,282325
215,instructions/pages_summary/page09.html,9,0,282325
216,instructions/pages_summary/page12.html,10,0,282325
217,instructions/pages_summary/page13.html,11,0,282325
218,instructions/pages_summary/page18.html,12,0,282325
219,instructions/pages_summary/page19.html,13,0,282325
220,instructions/pages_summary/page20.html,14,0,282325
221,instructions/pages_summary/page25.html,15,0,282325
222,instructions/pages_summary/page26.html,16,0,282325
223,instructions/pages_summary/page27.html,17,0,282325
224,instructions/pages_summary/page28.html,18,0,282325
225,instructions/pages_summary/page29.html,19,0,282325
226,instructions/pages_summary/page33.html,20,0,282325
227,instructions/pages_summary/page34.html,21,0,282325
228,instructions/pages_summary/page35.html,22,0,282325
